,artist_no_tags,artistGGL,website
0,Jorge Camacho,"['https://www.instagram.com/j.duh_/', 'http://www.jduhdesigns.com/bio.html']",https://www.instagram.com/j.duh_/
1,Carlos Rodriguez,['https://www.carlosrodriguezart.com/'],
2,Mike Borja,http://mikeborja.tumblr.com/,http://mikeborja.tumblr.com/
3,Sam Rodriguez,http://samrodriguezart.com/,http://samrodriguezart.com/
4,Gloria Bornstein,[ 'http://gloriabornstein.com/'],
5,Angela Buenning Filo,['http://www.angelabuenning.com/'],
6,Jun Kaneko,['http://www.junkaneko.com/'],
7,Jeffrey Andrade Hemming,http://www.andradehemming.com/,http://www.andradehemming.com/
8,Lila Gemellos,http://www.gemellosmurals.com/,http://www.gemellosmurals.com/
9,Aaron De La Cruz,['http://www.aarondelacruz.com/'],http://www.aarondelacruz.com/
10,Aaron De La Cruz,['http://www.aarondelacruz.com/'],https://www.instagram.com/aarondelacruz/
11,Francisco Ramirez and Rick Aswell,https://www.instagram.com/fco1980/,https://www.instagram.com/fco1980/
12,Francisco Ramirez,https://www.instagram.com/fco1980/,https://www.instagram.com/fco1980/
13,Clark Wiegman,['http://artifacture.org'],
14,Frank Torres,gone,
15,Antonio Torres,[],
16,Chris Duncan and Paul Urich,[],
17,Anne Chamberlain and Victor Maria Zaballa,['https://www.artforum.com/news/ann-chamberlain-1951-2008-19924'],
18,Lila Gemellos,http://www.gemellosmurals.com/,http://www.gemellosmurals.com/
19,David Ruth,['https://www.davidruth.com/'],
20,John Barrick,https://www.johnbsigns.com/,https://www.johnbsigns.com/
21,Jon Rubin,['http://www.jonrubin.net/'],
22,Adele Renault,['https://www.adelerenault.com/'],http://www.adelerenault.com/
23,Academy of Art University Graduate Students under the direction of Professor Donna Schumacher,[],
24,Carlos Perez,['https://www.coroflot.com/artorigin/profile'],
25,Ruth Asawa,['https://www.ruthasawa.com/'],
26,Donna Billick,['http://donnabillickart.com/'],
27,Joe Saxe,['http://www.joesaxe.com/'],
28,Living Lenses (Po Shu Wang and Louise Bertelsen) (fix names),[http://www.livinglenses.com],
29,Miguel Machuca and DDEF Studio,"['https://artemachuca33.carbonmade.com/','https://www.instagram.com/arte.machuca33/']",https://www.instagram.com/arte.machuca33/
